zipcode,state,income
72209,arkansas,39291
78521,texas,35318
71063,louisiana,43029
70819,louisiana,59345
70526,louisiana,34404
78734,texas,116955
78596,texas,47597
79927,texas,41526
75154,texas,86783
78596,texas,47597
78613,texas,108937
71457,louisiana,36258
75964,texas,52825
70665,louisiana,79068
78526,texas,62912
78504,texas,68024
78380,texas,54596
54020,wisconsin,75899
78404,texas,49473
78641,texas,112267
78230,texas,62854
79118,texas,78465
77640,texas,45341
70560,louisiana,44371
77054,texas,53177
77713,texas,72674
77619,texas,60880
79853,texas,56892
77703,texas,28202
70506,louisiana,49945
78660,texas,98610
87102,newmexico,32575
77339,texas,79016
77433,texas,120819
78717,texas,120027
70507,louisiana,63125
72501,arkansas,50323
23117,virginia,80046
77357,texas,72093
88240,newmexico,58931
48021,michigan,52155
78523,texas,not_found
87114,newmexico,72863
78375,texas,41842
87501,newmexico,71468
78416,texas,40981
70605,louisiana,81404
76012,texas,73261
77327,texas,49173
70764,louisiana,54854
77833,texas,61409
70535,louisiana,40805
99687,alaska,not_found
77642,texas,40227
78102,texas,49731
88130,newmexico,47694
79379,texas,48906
72065,arkansas,71445
78520,texas,42484
11743,newyork,144452
70898,louisiana,not_found
75402,texas,71972
28358,northcarolina,41250
51103,iowa,50179
78934,texas,61573
39046,mississippi,42718
78573,texas,42279
70611,louisiana,92860
87579,newmexico,75440
78516,texas,40583
78664,texas,80403
70656,louisiana,45625
77355,texas,97440
77447,texas,82352
75941,texas,52816
77642,texas,40227
38016,tennessee,66480
79938,texas,64239
39073,mississippi,64862
32566,florida,90381
28205,northcarolina,61525
78741,texas,54422
78621,texas,85262
78573,texas,42279
969,not_found,not_found
78840,texas,52296
77611,texas,93852
85021,arizona,51193
37813,tennessee,38249
78155,texas,62243
53149,wisconsin,107278
77612,texas,60625
71302,louisiana,33194
77566,texas,89434
78390,texas,55182
40965,kentucky,27500
77035,texas,48939
78427,texas,not_found
76384,texas,44775
76901,texas,64923
78046,texas,46845
73034,oklahoma,96056
75701,texas,57373
72023,arkansas,66135
77414,texas,49680
78390,texas,55182
88240,newmexico,58931
88030,newmexico,34852
77656,texas,60708
23523,virginia,32458
33903,florida,51758
79915,texas,32259
77656,texas,60708
68979,nebraska,71078
76825,texas,45671
70580,louisiana,50452
76034,texas,180584
78255,texas,134941
78664,texas,80403
77358,texas,67011
78046,texas,46845
79118,texas,78465
78412,texas,51280
39532,mississippi,59952
77845,texas,83361
77566,texas,89434
70611,louisiana,92860
77801,texas,27969
78552,texas,54586
70554,louisiana,23837
70506,louisiana,49945
78416,texas,40981
70448,louisiana,82560
76522,texas,60382
